t_ms,lat,lon,speed_kmh,heading_deg,sats,lap,lap_time_ms,best_lap_ms,delta_ms
4800,-23.703182,-46.698578,79.79,67.9,11,1,4899,38500,0
4900,-23.703182,-46.698591,77.27,67.6,8,1,4999,38500,0
5000,-23.703181,-46.698621,78.42,67.0,11,1,5099,38500,0
5100,-23.703181,-46.698635,75.90,66.7,10,1,5199,38500,0
5200,-23.703181,-46.698666,77.05,66.1,12,1,5299,38500,0
5300,-23.703181,-46.698679,78.21,65.8,9,1,5399,38500,0
5400,-23.703182,-46.698711,75.69,65.2,9,1,5499,38500,0
5500,-23.703182,-46.698725,76.84,64.9,12,1,5599,38500,0
5600,-23.703183,-46.698739,74.41,64.7,8,1,5699,38500,0
5700,-23.703185,-46.698767,75.56,64.1,8,1,5799,38500,0
5800,-23.703186,-46.698784,76.71,63.7,10,1,5899,38500,0
5900,-23.703188,-46.698812,77.86,63.1,8,1,5999,38500,0
6000,-23.703190,-46.698826,79.01,62.9,9,1,6099,38500,0
6100,-23.703193,-46.698857,76.55,62.2,11,1,6199,38500,0
6200,-23.703195,-46.698871,77.70,61.9,12,1,6299,38500,0
6300,-23.703196,-46.698885,78.74,61.6,8,1,6399,38500,0
6400,-23.703200,-46.698915,78.62,60.9,11,1,6499,38500,0
6500,-23.703202,-46.698929,77.66,60.6,8,1,6599,38500,0
6600,-23.703207,-46.698959,78.81,59.9,10,1,6699,38500,0
6700,-23.703209,-46.698972,79.96,59.6,10,1,6799,38500,0
6800,-23.703214,-46.699001,77.80,58.9,9,1,6899,38500,0
6900,-23.703216,-46.699017,78.95,58.5,8,1,6999,38500,0
7000,-23.703221,-46.699045,76.43,57.7,12,1,7099,38500,0
7100,-23.703224,-46.699060,77.58,57.3,12,1,7199,38500,0
7200,-23.703227,-46.699075,78.73,56.9,9,1,7299,38500,0
7300,-23.703233,-46.699104,79.89,56.1,12,1,7399,38500,0
7400,-23.703236,-46.699118,80.51,55.7,11,1,7499,38500,0
7500,-23.703242,-46.699145,77.99,54.8,10,1,7599,38500,0
7600,-23.703245,-46.699161,77.11,54.3,11,1,7699,38500,0
7700,-23.703251,-46.699189,78.26,53.3,9,1,7799,38500,0
7800,-23.703254,-46.699203,75.74,52.8,10,1,7899,38500,0
7900,-23.703260,-46.699233,76.89,51.6,12,1,7999,38500,0
8000,-23.703263,-46.699245,75.41,51.0,9,1,8099,38500,0
8100,-23.703266,-46.699260,75.01,50.3,8,1,8199,38500,0
8200,-23.703272,-46.699290,74.56,48.8,12,1,8299,38500,0
8300,-23.703274,-46.699304,75.71,48.0,11,1,8399,38500,0
8400,-23.703278,-46.699333,75.11,46.2,12,1,8499,38500,0
8500,-23.703279,-46.699348,72.59,45.2,9,1,8599,38500,0
8600,-23.703280,-46.699363,70.07,43.9,12,1,8699,38500,0
8700,-23.703279,-46.699378,67.55,42.6,12,1,8799,38500,0
8800,-23.703275,-46.699407,65.03,39.5,12,1,8899,38500,0
8900,-23.703270,-46.699420,62.51,37.8,8,1,8999,38500,0
9000,-23.703264,-46.699433,59.99,36.0,12,1,9099,38500,0
9100,-23.703257,-46.699446,57.47,34.1,9,1,9199,38500,0
9200,-23.703249,-46.699458,58.16,32.2,8,1,9299,38500,0
9300,-23.703240,-46.699469,59.31,30.4,8,1,9399,38500,0
9400,-23.703231,-46.699481,60.47,28.6,8,1,9499,38500,0
9500,-23.703223,-46.699492,61.62,26.8,9,1,9599,38500,0
9600,-23.703207,-46.699515,62.77,23.3,10,1,9699,38500,0
9700,-23.703199,-46.699527,63.92,21.6,8,1,9799,38500,0
9800,-23.703192,-46.699539,65.07,19.8,11,1,9899,38500,0
9900,-23.703185,-46.699552,63.90,18.1,11,1,9999,38500,0
10000,-23.703179,-46.699566,61.43,16.3,12,1,10099,38500,0
10100,-23.703174,-46.699579,60.01,14.6,8,1,10199,38500,0
10200,-23.703170,-46.699594,58.86,12.8,8,1,10299,38500,0
10300,-23.703163,-46.699622,59.62,9.3,12,1,10399,38500,0
10400,-23.703161,-46.699636,59.79,7.6,9,1,10499,38500,0
10500,-23.703160,-46.699651,58.05,5.9,11,1,10599,38500,0
10600,-23.703160,-46.699665,56.93,4.1,10,1,10699,38500,0
10700,-23.703160,-46.699680,58.08,2.4,8,1,10799,38500,0
10800,-23.703162,-46.699695,59.24,0.6,11,1,10899,38500,0
10900,-23.703164,-46.699709,60.39,358.9,8,1,10999,38500,0
11000,-23.703166,-46.699724,61.54,357.1,12,1,11099,38500,0
11100,-23.703170,-46.699738,62.69,355.4,12,1,11199,38500,0
11200,-23.703178,-46.699767,63.84,351.8,8,1,11299,38500,0
11300,-23.703183,-46.699780,65.00,350.0,12,1,11399,38500,0
11400,-23.703189,-46.699794,66.15,348.2,8,1,11499,38500,0
11500,-23.703194,-46.699807,67.30,346.5,11,1,11599,38500,0
11600,-23.703206,-46.699833,68.45,342.8,10,1,11699,38500,0
11700,-23.703212,-46.699846,69.60,340.9,8,1,11799,38500,0
11800,-23.703218,-46.699860,70.76,339.0,10,1,11899,38500,0
11900,-23.703224,-46.699873,71.91,337.1,9,1,11999,38500,0
12000,-23.703232,-46.699901,69.39,333.3,9,1,12099,38500,0
12100,-23.703235,-46.699916,66.87,331.6,9,1,12199,38500,0
12200,-23.703237,-46.699930,64.35,329.8,11,1,12299,38500,0
12300,-23.703238,-46.699945,61.83,328.3,11,1,12399,38500,0
12400,-23.703237,-46.699960,59.31,326.7,11,1,12499,38500,0
12500,-23.703236,-46.699974,56.79,325.4,8,1,12599,38500,0
12600,-23.703232,-46.700002,57.94,323.0,11,1,12699,38500,0
12700,-23.703229,-46.700017,59.09,322.0,10,1,12799,38500,0
12800,-23.703226,-46.700032,60.24,320.9,8,1,12899,38500,0
12900,-23.703223,-46.700046,61.40,320.0,12,1,12999,38500,0
13000,-23.703219,-46.700061,62.55,319.1,9,1,13099,38500,0
13100,-23.703215,-46.700074,63.70,318.3,8,1,13199,38500,0
13200,-23.703212,-46.700088,64.85,317.5,12,1,13299,38500,0
13300,-23.703204,-46.700116,66.00,316.1,9,1,13399,38500,0
13400,-23.703200,-46.700129,67.16,315.5,10,1,13499,38500,0
13500,-23.703196,-46.700143,68.31,314.8,10,1,13599,38500,0
13600,-23.703192,-46.700158,69.46,314.2,10,1,13699,38500,0
13700,-23.703184,-46.700187,70.61,313.0,12,1,13799,38500,0
13800,-23.703180,-46.700200,71.76,312.5,12,1,13899,38500,0
13900,-23.703177,-46.700213,72.92,312.0,9,1,13999,38500,0
14000,-23.703169,-46.700243,74.07,310.9,8,1,14099,38500,0
14100,-23.703165,-46.700257,75.06,310.4,11,1,14199,38500,0
14200,-23.703158,-46.700286,76.21,309.5,8,1,14299,38500,0
14300,-23.703155,-46.700301,77.36,309.0,11,1,14399,38500,0
14400,-23.703152,-46.700313,77.73,308.6,10,1,14499,38500,0
14500,-23.703145,-46.700343,77.87,307.7,8,1,14599,38500,0
14600,-23.703142,-46.700355,75.35,307.3,9,1,14699,38500,0
14700,-23.703136,-46.700387,74.90,306.4,11,1,14799,38500,0
14800,-23.703134,-46.700399,76.05,306.1,10,1,14899,38500,0
14900,-23.703131,-46.700415,76.17,305.6,12,1,14999,38500,0
15000,-23.703125,-46.700444,77.32,304.9,10,1,15099,38500,0
15100,-23.703123,-46.700457,75.36,304.5,11,1,15199,38500,0
15200,-23.703119,-46.700486,74.28,303.7,11,1,15299,38500,0
15300,-23.703117,-46.700499,75.43,303.4,11,1,15399,38500,0
15400,-23.703115,-46.700516,76.58,303.0,8,1,15499,38500,0
15500,-23.703112,-46.700545,75.24,302.3,12,1,15599,38500,0
15600,-23.703110,-46.700558,76.40,301.9,9,1,15699,38500,0
15700,-23.703108,-46.700588,74.31,301.2,10,1,15799,38500,0
15800,-23.703106,-46.700604,75.46,300.8,8,1,15899,38500,0
15900,-23.703106,-46.700617,76.61,300.5,11,1,15999,38500,0
16000,-23.703104,-46.700649,77.77,299.7,8,1,16099,38500,0
16100,-23.703104,-46.700662,78.92,299.4,10,1,16199,38500,0
16200,-23.703104,-46.700693,76.40,298.6,11,1,16299,38500,0
16300,-23.703104,-46.700705,76.96,298.3,8,1,16399,38500,0
16400,-23.703105,-46.700735,75.40,297.6,12,1,16499,38500,0
16500,-23.703106,-46.700750,76.55,297.2,11,1,16599,38500,0
16600,-23.703107,-46.700765,77.71,296.9,10,1,16699,38500,0
16700,-23.703110,-46.700796,78.86,296.1,11,1,16799,38500,0
16800,-23.703111,-46.700809,76.67,295.7,9,1,16899,38500,0
16900,-23.703116,-46.700838,75.84,294.9,9,1,16999,38500,0
17000,-23.703119,-46.700854,76.99,294.5,8,1,17099,38500,0
17100,-23.703125,-46.700881,78.14,293.7,12,1,17199,38500,0
17200,-23.703128,-46.700894,79.30,293.3,8,1,17299,38500,0
17300,-23.703137,-46.700923,80.39,292.5,9,1,17399,38500,0
17400,-23.703142,-46.700937,79.77,292.0,12,1,17499,38500,0
17500,-23.703148,-46.700951,77.25,291.5,10,1,17599,38500,0
17600,-23.703160,-46.700976,74.73,290.6,10,1,17699,38500,0
17700,-23.703168,-46.700989,72.21,290.1,9,1,17799,38500,0
17800,-23.703176,-46.701001,69.69,289.6,12,1,17899,38500,0
17900,-23.703194,-46.701023,67.17,288.5,12,1,17999,38500,0
18000,-23.703203,-46.701034,64.65,288.0,10,1,18099,38500,0
18100,-23.703214,-46.701043,62.13,287.4,8,1,18199,38500,0
18200,-23.703224,-46.701051,59.61,286.9,10,1,18299,38500,0
18300,-23.703236,-46.701059,57.09,286.3,9,1,18399,38500,0
18400,-23.703248,-46.701065,56.72,285.7,11,1,18499,38500,0
18500,-23.703261,-46.701071,54.47,285.1,11,1,18599,38500,0
18600,-23.703273,-46.701076,55.62,284.5,11,1,18699,38500,0
18700,-23.703287,-46.701079,56.77,283.9,8,1,18799,38500,0
18800,-23.703300,-46.701082,57.92,283.3,9,1,18900,38500,0
18900,-23.703327,-46.701085,59.08,282.2,8,1,19000,38500,0
19000,-23.703341,-46.701086,60.23,281.6,11,1,19100,38500,0
19100,-23.703353,-46.701086,61.38,281.0,11,1,19200,38500,0
19200,-23.703367,-46.701085,62.53,280.4,11,1,19300,38500,0
19300,-23.703381,-46.701084,63.68,279.8,10,1,19400,38500,0
19400,-23.703393,-46.701083,64.84,279.3,9,1,19500,38500,0
19500,-23.703420,-46.701080,65.99,278.1,11,1,19600,38500,0
19600,-23.703434,-46.701078,67.14,277.5,10,1,19700,38500,0
19700,-23.703447,-46.701075,68.29,276.9,11,1,19800,38500,0
19800,-23.703461,-46.701073,69.44,276.3,10,1,19900,38500,0
19900,-23.703487,-46.701068,70.60,275.2,8,1,20000,38500,0
20000,-23.703501,-46.701064,71.75,274.5,10,1,20100,38500,0
20100,-23.703513,-46.701061,72.90,274.0,8,1,20200,38500,0
20200,-23.703539,-46.701054,74.05,272.8,10,1,20300,38500,0
20300,-23.703553,-46.701049,75.20,272.2,10,1,20400,38500,0
20400,-23.703578,-46.701039,76.36,271.0,11,1,20500,38500,0
20500,-23.703590,-46.701034,73.84,270.5,8,1,20600,38500,0
20600,-23.703602,-46.701027,71.32,269.9,9,1,20700,38500,0
20700,-23.703626,-46.701013,71.51,268.8,8,1,20800,38500,0
20800,-23.703637,-46.701004,68.99,268.2,10,1,20900,38500,0
20900,-23.703647,-46.700996,70.14,267.7,10,1,21000,38500,0
21000,-23.703658,-46.700987,71.30,267.2,10,1,21100,38500,0
21100,-23.703678,-46.700967,69.78,266.2,8,1,21200,38500,0
21200,-23.703687,-46.700956,70.93,265.7,11,1,21300,38500,0
21300,-23.703696,-46.700945,72.08,265.2,11,1,21400,38500,0
21400,-23.703712,-46.700922,73.24,264.3,12,1,21500,38500,0
21500,-23.703721,-46.700910,74.39,263.8,8,1,21600,38500,0
21600,-23.703728,-46.700898,75.09,263.3,10,1,21700,38500,0
21700,-23.703743,-46.700873,75.28,262.4,11,1,21800,38500,0
21800,-23.703749,-46.700861,76.43,262.0,10,1,21900,38500,0
21900,-23.703763,-46.700835,77.58,261.1,8,1,22000,38500,0
22000,-23.703769,-46.700822,75.24,260.7,10,1,22100,38500,0
22100,-23.703781,-46.700796,76.39,259.8,8,1,22200,38500,0
22200,-23.703787,-46.700783,77.54,259.3,8,1,22300,38500,0
22300,-23.703793,-46.700769,78.70,258.8,10,1,22400,38500,0
22400,-23.703805,-46.700743,76.83,257.9,9,1,22500,38500,0
22500,-23.703811,-46.700729,77.99,257.4,9,1,22600,38500,0
22600,-23.703823,-46.700703,75.47,256.4,10,1,22700,38500,0
22700,-23.703829,-46.700690,74.21,255.8,11,1,22800,38500,0
22800,-23.703836,-46.700676,75.36,255.2,12,1,22900,38500,0
22900,-23.703849,-46.700652,76.52,254.1,10,1,23000,38500,0
23000,-23.703857,-46.700640,75.25,253.4,9,1,23100,38500,0
23100,-23.703873,-46.700616,72.73,251.9,10,1,23200,38500,0
23200,-23.703883,-46.700605,70.21,251.1,11,1,23300,38500,0
23300,-23.703893,-46.700595,67.69,250.3,8,1,23400,38500,0
23400,-23.703904,-46.700587,65.17,249.5,11,1,23500,38500,0
23500,-23.703927,-46.700572,62.65,247.7,12,1,23600,38500,0
23600,-23.703939,-46.700566,60.13,246.9,12,1,23700,38500,0
23700,-23.703952,-46.700560,61.28,245.9,9,1,23800,38500,0
23800,-23.703964,-46.700555,62.43,245.1,8,1,23900,38500,0
23900,-23.703977,-46.700550,63.58,244.2,8,1,24000,38500,0
24000,-23.703989,-46.700545,64.74,243.3,11,1,24100,38500,0
24100,-23.704015,-46.700535,65.89,241.5,11,1,24200,38500,0
24200,-23.704027,-46.700528,67.04,240.6,12,1,24300,38500,0
24300,-23.704039,-46.700522,68.19,239.7,9,1,24400,38500,0
24400,-23.704050,-46.700515,65.67,238.9,10,1,24500,38500,0
24500,-23.704062,-46.700506,63.15,238.0,11,1,24600,38500,0
24600,-23.704082,-46.700488,60.63,236.3,8,1,24700,38500,0
24700,-23.704092,-46.700477,58.11,235.3,12,1,24800,38500,0
24800,-23.704101,-46.700465,55.59,234.4,9,1,24900,38500,0
24900,-23.704108,-46.700454,56.74,233.7,9,1,25000,38500,0
25000,-23.704116,-46.700441,56.67,232.8,11,1,25100,38500,0
25100,-23.704122,-46.700428,57.83,231.9,11,1,25200,38500,0
25200,-23.704127,-46.700416,58.98,231.2,10,1,25300,38500,0
25300,-23.704132,-46.700401,58.60,230.3,10,1,25400,38500,0
25400,-23.704136,-46.700388,59.75,229.6,10,1,25500,38500,0
25500,-23.704140,-46.700373,60.90,228.8,10,1,25600,38500,0
25600,-23.704143,-46.700359,62.05,228.0,10,1,25700,38500,0
25700,-23.704147,-46.700329,63.20,226.5,11,1,25800,38500,0
25800,-23.704148,-46.700315,64.36,225.8,9,1,25900,38500,0
25900,-23.704149,-46.700301,65.51,225.1,10,1,26000,38500,0
26000,-23.704149,-46.700286,66.66,224.3,11,1,26100,38500,0
26100,-23.704149,-46.700271,67.81,223.6,12,1,26200,38500,0
26200,-23.704148,-46.700242,68.96,222.1,11,1,26300,38500,0
26300,-23.704147,-46.700226,70.12,221.4,8,1,26400,38500,0
26400,-23.704145,-46.700212,71.27,220.7,9,1,26500,38500,0
26500,-23.704141,-46.700182,72.42,219.2,9,1,26600,38500,0
26600,-23.704139,-46.700168,73.57,218.5,8,1,26700,38500,0
26700,-23.704137,-46.700154,74.72,217.8,9,1,26800,38500,0
26800,-23.704131,-46.700127,75.88,216.4,12,1,26900,38500,0
26900,-23.704127,-46.700110,76.26,215.5,11,1,27000,38500,0
27000,-23.704119,-46.700083,77.41,214.0,12,1,27100,38500,0
27100,-23.704116,-46.700069,78.06,213.3,9,1,27200,38500,0
27200,-23.704107,-46.700042,78.48,211.7,11,1,27300,38500,0
27300,-23.704102,-46.700027,79.63,210.8,10,1,27400,38500,0
27400,-23.704098,-46.700014,80.79,210.0,11,1,27500,38500,0
27500,-23.704088,-46.699987,78.27,208.3,11,1,27600,38500,0
27600,-23.704082,-46.699972,78.88,207.3,9,1,27700,38500,0
27700,-23.704072,-46.699946,78.04,205.5,12,1,27800,38500,0
27800,-23.704066,-46.699933,78.09,204.6,9,1,27900,38500,0
27900,-23.704055,-46.699905,79.25,202.4,9,1,28000,38500,0
28000,-23.704049,-46.699893,77.63,201.4,8,1,28100,38500,0
28100,-23.704038,-46.699866,78.26,199.1,9,1,28200,38500,0
28200,-23.704032,-46.699851,77.83,197.8,10,1,28300,38500,0
28300,-23.704022,-46.699825,78.98,195.2,12,1,28400,38500,0
28400,-23.704017,-46.699811,79.55,193.7,8,1,28500,38500,0
28500,-23.704009,-46.699783,80.71,190.6,10,1,28600,38500,0
28600,-23.704005,-46.699769,78.19,188.9,9,1,28700,38500,0
28700,-23.704003,-46.699754,75.67,187.0,10,1,28800,38500,0
28800,-23.704001,-46.699724,73.15,183.2,10,1,28900,38500,0
28900,-23.704002,-46.699710,70.63,181.3,12,1,29000,38500,0
29000,-23.704004,-46.699695,68.11,179.4,9,1,29100,38500,0
29100,-23.704006,-46.699681,65.59,177.6,8,1,29200,38500,0
29200,-23.704014,-46.699653,63.07,174.1,11,1,29300,38500,0
29300,-23.704019,-46.699639,64.22,172.4,11,1,29400,38500,0
29400,-23.704024,-46.699625,65.37,170.8,11,1,29500,38500,0
29500,-23.704028,-46.699613,66.52,169.4,12,1,29600,38500,0
29600,-23.704039,-46.699585,67.67,166.5,9,1,29700,38500,0
29700,-23.704045,-46.699571,68.83,165.1,11,1,29800,38500,0
29800,-23.704049,-46.699558,69.98,163.9,10,1,29900,38500,0
29900,-23.704055,-46.699544,71.13,162.5,10,1,30000,38500,0
30000,-23.704064,-46.699517,72.28,160.2,8,1,30100,38500,0
30100,-23.704069,-46.699503,73.43,159.0,11,1,30200,38500,0
30200,-23.704073,-46.699490,74.59,157.8,10,1,30300,38500,0
30300,-23.704081,-46.699461,75.22,155.6,12,1,30400,38500,0
30400,-23.704085,-46.699447,76.37,154.5,10,1,30500,38500,0
30500,-23.704091,-46.699418,77.52,152.3,9,1,30600,38500,0
30600,-23.704094,-46.699403,75.81,151.2,12,1,30700,38500,0
30700,-23.704098,-46.699374,76.96,149.1,12,1,30800,38500,0
30800,-23.704099,-46.699360,77.21,148.0,9,1,30900,38500,0
30900,-23.704100,-46.699345,77.90,147.0,8,1,31000,38500,0
31000,-23.704100,-46.699316,79.05,144.9,10,1,31100,38500,0
31100,-23.704099,-46.699301,76.53,143.8,9,1,31200,38500,0
31200,-23.704095,-46.699271,74.01,141.6,11,1,31300,38500,0
31300,-23.704093,-46.699257,71.49,140.6,11,1,31400,38500,0
31400,-23.704089,-46.699243,68.97,139.4,11,1,31500,38500,0
31500,-23.704079,-46.699215,66.45,137.2,11,1,31600,38500,0
31600,-23.704074,-46.699202,63.93,136.1,10,1,31700,38500,0
31700,-23.704067,-46.699189,61.41,134.9,8,1,31800,38500,0
31800,-23.704059,-46.699177,58.89,133.8,9,1,31900,38500,0
31900,-23.704051,-46.699166,56.37,132.7,8,1,32000,38500,0
32000,-23.704042,-46.699155,56.71,131.5,11,1,32100,38500,0
32100,-23.704032,-46.699145,57.57,130.3,11,1,32200,38500,0
32200,-23.704022,-46.699135,57.77,129.2,12,1,32300,38500,0
32300,-23.704011,-46.699127,58.92,128.1,11,1,32400,38500,0
32400,-23.704000,-46.699118,60.07,126.9,8,1,32500,38500,0
32500,-23.703989,-46.699110,61.22,125.7,8,1,32600,38500,0
32600,-23.703966,-46.699094,62.37,123.4,11,1,32700,38500,0
32700,-23.703955,-46.699086,63.53,122.3,12,1,32800,38500,0
32800,-23.703944,-46.699077,64.68,121.1,11,1,32900,38500,0
32900,-23.703934,-46.699067,62.16,119.9,11,1,33000,38500,0
33000,-23.703925,-46.699057,59.64,118.9,9,1,33100,38500,0
33100,-23.703917,-46.699045,57.12,117.8,8,1,33200,38500,0
33200,-23.703910,-46.699032,54.60,116.9,9,1,33300,38500,0
33300,-23.703904,-46.699019,52.08,116.0,9,1,33400,38500,0
33400,-23.703899,-46.699006,52.80,115.2,9,1,33500,38500,0
33500,-23.703895,-46.698992,53.95,114.4,12,1,33600,38500,0
33600,-23.703891,-46.698977,55.11,113.7,8,1,33700,38500,0
33700,-23.703888,-46.698963,56.26,113.1,11,1,33800,38500,0
33800,-23.703885,-46.698949,57.41,112.5,8,1,33900,38500,0
33900,-23.703883,-46.698935,58.56,112.0,12,1,34000,38500,0
34000,-23.703879,-46.698905,59.71,110.9,8,1,34100,38500,0
34100,-23.703877,-46.698891,60.87,110.5,8,1,34200,38500,0
34200,-23.703875,-46.698876,62.02,110.0,9,1,34300,38500,0
34300,-23.703874,-46.698861,63.17,109.6,9,1,34400,38500,0
34400,-23.703872,-46.698848,64.32,109.2,12,1,34500,38500,0
34500,-23.703870,-46.698832,65.47,108.8,8,1,34600,38500,0
34600,-23.703868,-46.698804,66.63,108.1,10,1,34700,38500,0
34700,-23.703866,-46.698789,67.78,107.7,9,1,34800,38500,0
34800,-23.703864,-46.698774,68.93,107.3,10,1,34900,38500,0
34900,-23.703863,-46.698759,70.08,107.0,12,1,35000,38500,0
35000,-23.703860,-46.698731,71.23,106.3,11,1,35100,38500,0
35100,-23.703858,-46.698715,72.39,105.9,8,1,35200,38500,0
35200,-23.703854,-46.698686,73.54,105.3,8,1,35300,38500,0
35300,-23.703852,-46.698672,74.69,105.0,8,1,35400,38500,0
35400,-23.703850,-46.698659,74.62,104.7,10,1,35500,38500,0
35500,-23.703846,-46.698629,75.77,104.1,12,1,35600,38500,0
35600,-23.703844,-46.698615,76.92,103.8,12,1,35700,38500,0
35700,-23.703839,-46.698585,76.75,103.2,9,1,35800,38500,0
35800,-23.703837,-46.698572,77.90,102.9,11,1,35900,38500,0
35900,-23.703833,-46.698555,79.05,102.6,10,1,36000,38500,0
36000,-23.703828,-46.698529,76.53,102.0,9,1,36100,38500,0
36100,-23.703825,-46.698513,75.11,101.7,12,1,36200,38500,0
36200,-23.703818,-46.698484,76.26,101.1,8,1,36300,38500,0
36300,-23.703814,-46.698471,75.96,100.8,8,1,36400,38500,0
36400,-23.703810,-46.698456,74.95,100.5,12,1,36500,38500,0
36500,-23.703802,-46.698428,75.36,99.9,10,1,36600,38500,0
36600,-23.703798,-46.698414,74.49,99.5,11,1,36700,38500,0
36700,-23.703788,-46.698385,75.64,98.9,10,1,36800,38500,0
36800,-23.703783,-46.698372,76.53,98.6,10,1,36900,38500,0
36900,-23.703778,-46.698358,76.48,98.3,9,1,37000,38500,0
37000,-23.703768,-46.698333,77.63,97.6,11,1,37100,38500,0
37100,-23.703761,-46.698318,76.36,97.3,12,1,37200,38500,0
37200,-23.703748,-46.698293,77.51,96.6,9,1,37300,38500,0
37300,-23.703741,-46.698280,75.49,96.2,12,1,37400,38500,0
37400,-23.703727,-46.698256,76.64,95.5,9,1,37500,38500,0
37500,-23.703718,-46.698244,74.24,95.1,8,1,37600,38500,0
37600,-23.703710,-46.698233,75.39,94.7,11,1,37700,38500,0
37700,-23.703692,-46.698211,72.88,93.9,10,1,37800,38500,0
37800,-23.703683,-46.698201,74.03,93.5,8,1,37900,38500,0
37900,-23.703673,-46.698190,71.51,93.0,8,1,38000,38500,0
38000,-23.703651,-46.698172,68.99,92.1,9,1,38100,38500,0
38100,-23.703640,-46.698163,67.21,91.6,11,1,38200,38500,0
38200,-23.703629,-46.698156,68.36,91.2,11,1,38300,38500,0
38300,-23.703618,-46.698149,65.84,90.7,8,1,38400,38500,0
38400,-23.703589,-46.698135,66.99,89.5,10,1,38500,38500,0
38500,-23.703600,-46.698140,46.15,90.0,12,2,100,37800,-700
38600,-23.703589,-46.698135,47.30,89.5,8,2,200,37800,-700
38700,-23.703576,-46.698130,48.46,89.0,8,2,300,37800,-700
38800,-23.703563,-46.698126,49.61,88.5,8,2,400,37800,-700
38900,-23.703550,-46.698123,50.76,88.0,8,2,500,37800,-700
39000,-23.703536,-46.698120,51.91,87.5,12,2,600,37800,-700
39100,-23.703523,-46.698118,53.06,86.9,10,2,700,37800,-700
39200,-23.703510,-46.698116,54.22,86.4,10,2,799,37800,-700
39300,-23.703496,-46.698115,55.37,85.9,8,2,899,37800,-700
39400,-23.703482,-46.698115,56.52,85.3,12,2,999,37800,-700
39500,-23.703469,-46.698116,57.67,84.8,10,2,1099,37800,-700
39600,-23.703456,-46.698117,58.82,84.3,12,2,1200,37800,-700
